WARD,Population
10101001,9068
10101002,8472
10101003,7007
10101004,9659
10101005,7420
10101006,7187
10101007,8947
10101008,9387
10102001,10424
10102002,6274
10102003,7523
10102004,10041
10102005,7616
10102006,7890
10103001,10507
10103002,5209
10103003,8726
10103004,9461
10103005,13015
10103006,3646
10103007,11333
10104001,8401
10104002,10587
10104003,6205
10104004,8591
10104005,6204
10104006,8470
10104007,7546
10104008,5788
10104009,7976
10104010,8523
10104011,5515
10104012,8408
10104013,6978
10105001,10558
10105002,9166
10105003,8888
10105004,11995
10105005,7917
10105006,8302
10105007,13018
10105008,6955
10105009,8532
10105010,8690
10105011,9304
10105012,10438
10202001,7076
10202002,6214
10202003,9206
10202004,7356
10202005,9047
10202006,11014
10202007,14342
10202008,10211
10202009,10218
10202010,10110
10202011,12281
10202012,8870
10203001,9946
10203002,5147
10203003,11744
10203004,6597
10203005,9538
10203006,5830
10203007,9403
10203008,1877
10203009,6711
10203010,8281
10203011,12131
10203012,6399
10203013,7750
10203014,13936
10203015,7153
10203016,7488
10203017,9630
10203018,8253
10203019,6590
10203020,3318
10203021,11343
10203022,8750
10203023,8100
10203024,6722
10203025,8877
10203026,10183
10203027,6367
10203028,7084
10203029,7866
10203030,9939
10203031,8310
10204001,12389
10204002,7520
10204003,8951
10204004,8230
10204005,5656
10204006,5856
10204007,3873
10204008,5683
10204009,822
10204010,5270
10204011,6545
10204012,8010
10204013,2483
10204014,5279
10204015,10402
10204016,8626
10204017,7727
10204018,8763
10204019,10494
10204020,9628
10204021,8651
10204022,4873
10205001,8751
10205002,9413
10205003,9592
10205004,9981
10205005,11442
10205006,5349
10205007,6187
10205008,8911
10205009,6847
10205010,7924
10205011,6694
10205012,7183
10205013,7592
10205014,5924
10205015,8105
10205016,7938
10205017,3378
10205018,8111
10205019,6124
10205020,7627
10205021,13752
10206001,5738
10206002,8874
10206003,8692
10206004,7857
10206005,5644
10206006,9797
10206007,9670
10206008,9714
10206009,7609
10206010,5598
10206011,5946
10206012,12587
10301001,9256
10301002,8443
10301003,11174
10301004,7102
10301005,11627
10301006,6805
10301007,8223
10301008,5066
10301009,7995
10301010,5904
10301011,5293
10301012,7576
10301013,14325
10302001,6454
10302002,6866
10302003,4267
10302004,7801
10302005,6345
10302006,6529
10302007,4102
10302008,9412
10302009,2444
10302010,6638
10302011,9086
10302012,5335
10302013,5151
10303001,5995
10303002,8029
10303003,6316
10303004,5719
10303005,6978
10304001,7622
10304002,7911
10304003,7779
10304004,3518
10304005,9086
10401001,6444
10401002,7444
10401003,5017
10401004,5862
10402001,6744
10402002,7485
10402003,4839
10402004,8456
10402005,5777
10402006,6916
10402007,6309
10402008,6117
10403001,6752
10403002,5762
10403003,9986
10403004,5305
10403005,6383
10403006,6258
10403007,4945
10403008,4676
10403009,6713
10403010,4570
10403011,6835
10403012,4854
10403013,6637
10403014,9754
10404001,9356
10404002,3397
10404003,5747
10404004,8192
10404005,6573
10404006,10046
10404007,9395
10404008,7759
10404009,5966
10404010,3152
10404011,8760
10404012,4289
10404013,7603
10404014,9571
10404015,6155
10404016,11958
10404017,9272
10404018,5027
10404019,9272
10404020,7913
10404021,9218
10404022,8277
10404023,9948
10404024,7983
10404025,8841
10405001,6535
10405002,6893
10405003,8662
10405004,4683
10405005,6235
10405006,11108
10405007,7160
10405008,10592
10405009,5572
10405010,6338
10405011,10597
10405012,6757
10405013,4803
10407001,8119
10407002,7725
10407003,4609
10407004,6896
10407005,5974
10407006,4255
10407007,11584
10408001,6210
10408002,5793
10408003,4582
10408004,5256
10408005,6067
10408006,8692
10408007,12740
10408008,5869
10408009,7738
10408010,5711
10501001,2830
10501002,927
10501003,360
10501004,4172
10502001,3521
10502002,2636
10502003,2647
10502004,4332
10503001,7454
10503002,6519
10503003,7280
10503004,5348
10503005,7103
10503006,4921
10503007,10962
19100001,26885
19100002,25584
19100003,31946
19100004,40916
19100005,24663
19100006,23473
19100007,30807
19100008,37744
19100009,29300
19100010,30521
19100011,41693
19100012,35392
19100013,45756
19100014,43289
19100015,22607
19100016,43110
19100017,41077
19100018,22303
19100019,54516
19100020,41763
19100021,21578
19100022,30846
19100023,33449
19100024,27731
19100025,40210
19100026,30741
19100027,28117
19100028,30827
19100029,43269
19100030,35723
19100031,35328
19100032,37430
19100033,43694
19100034,34393
19100035,40067
19100036,34166
19100037,22207
19100038,20632
19100039,24471
19100040,28472
19100041,21005
19100042,28083
19100043,40404
19100044,34404
19100045,34793
19100046,33890
19100047,34625
19100048,29752
19100049,37464
19100050,32977
19100051,23289
19100052,24675
19100053,29027
19100054,27903
19100055,35534
19100056,33797
19100057,33076
19100058,28623
19100059,23733
19100060,31679
19100061,31883
19100062,24832
19100063,27872
19100064,24490
19100065,28116
19100066,28845
19100067,48613
19100068,31832
19100069,37171
19100070,24934
19100071,27943
19100072,25190
19100073,24286
19100074,36822
19100075,37698
19100076,40965
19100077,28252
19100078,40070
19100079,35411
19100080,46151
19100081,32164
19100082,41382
19100083,24841
19100084,25294
19100085,33367
19100086,39177
19100087,29652
19100088,40913
19100089,27639
19100090,28576
19100091,30693
19100092,34700
19100093,31218
19100094,24968
19100095,58840
19100096,26835
19100097,28529
19100098,28971
19100099,52212
19100100,44307
19100101,37084
19100102,27040
19100103,41307
19100104,36974
19100105,39572
19100106,64512
19100107,43297
19100108,53538
19100109,40332
19100110,27794
19100111,37495
21001001,8745
21001002,7258
21001003,5919
21001004,10281
21001005,6018
21001006,6459
21001007,6313
21002001,4749
21002002,6747
21002003,6979
21002004,5933
21002005,5446
21002006,6148
21003001,2468
21003002,4044
21003003,1565
21003004,2460
21004001,2954
21004002,7096
21004003,6466
21004004,8469
21004005,8320
21004006,4708
21004007,2938
21004008,4587
21004009,5011
21004010,6751
21004011,6915
21004012,2928
21004013,6495
21004014,6752
21005001,5712
21005002,6948
21005003,6489
21005004,5194
21005005,6317
21005006,8990
21005007,5394
21005008,4333
21005009,6385
21005010,5415
21006001,6008
21006002,7305
21006003,7743
21006004,4832
21006005,5303
21006006,5739
21006007,8247
21006008,9328
21007001,2321
21007002,4728
21007003,7690
21007004,3022
21008001,2126
21008002,3136
21008003,797
21008004,14413
21008005,3262
21008006,5944
21008007,9416
21008008,8220
21008009,9908
21008010,6932
21008011,2885
21008012,6132
21008013,6485
21008014,7005
21008015,11899
21009001,10657
21009002,5851
21009003,5495
21009004,6325
21009005,6902
21009006,5434
21201001,7074
21201002,8396
21201003,6993
21201004,6979
21201005,9201
21201006,7901
21201007,6872
21201008,7960
21201009,11515
21201010,7969
21201011,7576
21201012,8105
21201013,7108
21201014,7417
21201015,11522
21201016,10372
21201017,8937
21201018,6449
21201019,12515
21201020,8988
21201021,6673
21201022,7788
21201023,8696
21201024,6948
21201025,7747
21201026,9336
21201027,6215
21201028,9375
21201029,6450
21201030,8487
21201031,7344
21202001,6164
21202002,7928
21202003,7606
21202004,8242
21202005,9581
21202006,6163
21202007,8812
21202008,7181
21202009,7960
21202010,6470
21202011,7916
21202012,7458
21202013,7156
21202014,7437
21202015,6120
21202016,7440
21202017,7976
21202018,8603
21202019,7522
21202020,7403
21202021,7737
21202022,9694
21202023,7495
21202024,10199
21202025,11611
21202026,10489
21202027,9460
21202028,8780
21202029,8893
21202030,7546
21202031,9348
21203001,6673
21203002,4336
21203003,5641
21203004,5960
21203005,5346
21203006,5715
21203007,5320
21204001,5481
21204002,7316
21204003,6012
21204004,6604
21204005,6922
21204006,7543
21204007,5595
21204008,6357
21204009,5126
21204010,5060
21204011,5133
21204012,7509
21204013,5074
21204014,7087
21204015,5667
21204016,7544
21204017,5135
21204018,5564
21204019,5647
21204020,6402
21206001,5555
21206002,5963
21206003,5830
21206004,5559
21206005,6065
21206006,5343
21206007,6051
21206008,5390
21206009,4897
21206010,5011
21206011,5964
21206012,4783
21206013,5777
21207001,4821
21207002,5803
21207003,5476
21207004,7460
21207005,5562
